2024-08-30 18:44:41,865 INFO    MainThread:31608 [wandb_setup.py:_flush():76] Current SDK version is 0.17.7
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_setup.py:_flush():76] Configure stats pid to 31608
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_setup.py:_flush():76] Loading settings from C:\Users\User\.config\wandb\settings
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_setup.py:_flush():76] Loading settings from E:\SLT_FYP\1d-tokenizer\wandb\settings
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'mode': 'offline'}
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '1d-tokenizer\\scripts\\train_titok.py', 'program_abspath': 'E:\\SLT_FYP\\1d-tokenizer\\scripts\\train_titok.py', 'program': 'E:\\SLT_FYP\\1d-tokenizer\\scripts\\train_titok.py'}
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_init.py:_log_setup():524] Logging user logs to E:\SLT_FYP\1d-tokenizer\wandb\offline-run-20240830_184441-9rl3o7r9\logs\debug.log
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_init.py:_log_setup():525] Logging internal logs to E:\SLT_FYP\1d-tokenizer\wandb\offline-run-20240830_184441-9rl3o7r9\logs\debug-internal.log
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_init.py:init():607] calling init triggers
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-08-30 18:44:41,866 INFO    MainThread:31608 [wandb_init.py:init():657] starting backend
2024-08-30 18:44:41,867 INFO    MainThread:31608 [wandb_init.py:init():661] setting up manager
2024-08-30 18:44:41,868 INFO    MainThread:31608 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-08-30 18:44:41,870 INFO    MainThread:31608 [wandb_init.py:init():669] backend started and connected
2024-08-30 18:44:41,873 INFO    MainThread:31608 [wandb_init.py:init():764] updated telemetry
2024-08-30 18:44:41,917 INFO    MainThread:31608 [wandb_init.py:init():797] communicating run to backend with 90.0 second timeout
2024-08-30 18:44:41,920 INFO    MainThread:31608 [wandb_init.py:init():848] starting run threads in backend
2024-08-30 18:44:42,131 INFO    MainThread:31608 [wandb_run.py:_console_start():2457] atexit reg
2024-08-30 18:44:42,131 INFO    MainThread:31608 [wandb_run.py:_redirect():2303] redirect: wrap_raw
2024-08-30 18:44:42,131 INFO    MainThread:31608 [wandb_run.py:_redirect():2368] Wrapping output streams.
2024-08-30 18:44:42,131 INFO    MainThread:31608 [wandb_run.py:_redirect():2393] Redirects installed.
2024-08-30 18:44:42,134 INFO    MainThread:31608 [wandb_init.py:init():891] run started, returning control to user process
2024-08-30 18:44:43,491 WARNING MsgRouterThr:31608 [router.py:message_loop():77] message_loop has been closed
