2024-09-01 21:20:16,944 INFO    MainThread:4284 [wandb_setup.py:_flush():76] Current SDK version is 0.17.7
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_setup.py:_flush():76] Configure stats pid to 4284
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_setup.py:_flush():76] Loading settings from C:\Users\User\.config\wandb\settings
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_setup.py:_flush():76] Loading settings from E:\SLT_FYP\1d-tokenizer\wandb\settings
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '1d-tokenizer\\scripts\\train_titok.py', 'program_abspath': 'E:\\SLT_FYP\\1d-tokenizer\\scripts\\train_titok.py', 'program': 'E:\\SLT_FYP\\1d-tokenizer\\scripts\\train_titok.py'}
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_init.py:_log_setup():524] Logging user logs to E:\SLT_FYP\1d-tokenizer\wandb\run-20240901_212016-mlc6zv5a\logs\debug.log
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_init.py:_log_setup():525] Logging internal logs to E:\SLT_FYP\1d-tokenizer\wandb\run-20240901_212016-mlc6zv5a\logs\debug-internal.log
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_init.py:init():607] calling init triggers
2024-09-01 21:20:16,945 INFO    MainThread:4284 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-09-01 21:20:16,946 INFO    MainThread:4284 [wandb_init.py:init():657] starting backend
2024-09-01 21:20:16,946 INFO    MainThread:4284 [wandb_init.py:init():661] setting up manager
2024-09-01 21:20:16,947 INFO    MainThread:4284 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-09-01 21:20:16,949 INFO    MainThread:4284 [wandb_init.py:init():669] backend started and connected
2024-09-01 21:20:16,951 INFO    MainThread:4284 [wandb_init.py:init():764] updated telemetry
2024-09-01 21:20:16,986 INFO    MainThread:4284 [wandb_init.py:init():797] communicating run to backend with 90.0 second timeout
2024-09-01 21:20:17,573 INFO    MainThread:4284 [wandb_run.py:_on_init():2479] communicating current version
2024-09-01 21:20:17,638 INFO    MainThread:4284 [wandb_run.py:_on_init():2488] got version response upgrade_message: "wandb version 0.17.8 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-09-01 21:20:17,638 INFO    MainThread:4284 [wandb_init.py:init():848] starting run threads in backend
2024-09-01 21:20:17,840 INFO    MainThread:4284 [wandb_run.py:_console_start():2457] atexit reg
2024-09-01 21:20:17,840 INFO    MainThread:4284 [wandb_run.py:_redirect():2303] redirect: wrap_raw
2024-09-01 21:20:17,840 INFO    MainThread:4284 [wandb_run.py:_redirect():2368] Wrapping output streams.
2024-09-01 21:20:17,840 INFO    MainThread:4284 [wandb_run.py:_redirect():2393] Redirects installed.
2024-09-01 21:20:17,842 INFO    MainThread:4284 [wandb_init.py:init():891] run started, returning control to user process
